Date,Price,Open,High,Low,Change %
"Dec 27, 2010","1,384.10","1,384.75","1,386.70","1,372.75",-0.05%
"Dec 24, 2010","1,384.75","1,380.55","1,386.14","1,378.82",0.32%
"Dec 23, 2010","1,380.35","1,385.05","1,388.96","1,372.61",-0.34%
"Dec 22, 2010","1,385.00","1,385.75","1,391.20","1,382.04",-0.05%
"Dec 21, 2010","1,385.74","1,385.26","1,392.39","1,381.16",0.08%
"Dec 20, 2010","1,384.65","1,376.80","1,388.45","1,376.24",0.67%
"Dec 17, 2010","1,375.41","1,371.51","1,379.36","1,365.05",0.42%
"Dec 16, 2010","1,369.70","1,380.80","1,386.75","1,361.75",-0.73%
"Dec 15, 2010","1,379.80","1,396.05","1,397.40","1,377.39",-1.18%
"Dec 14, 2010","1,396.25","1,393.40","1,408.10","1,392.05",0.18%
"Dec 13, 2010","1,393.76","1,383.76","1,399.44","1,380.55",0.56%
"Dec 10, 2010","1,386.05","1,387.80","1,392.55","1,372.30",-0.11%
"Dec 09, 2010","1,387.64","1,382.05","1,394.54","1,379.68",0.40%
"Dec 08, 2010","1,382.10","1,401.19","1,404.42","1,371.85",-1.41%
"Dec 07, 2010","1,401.89","1,423.45","1,431.45","1,396.49",-1.52%
"Dec 06, 2010","1,423.55","1,415.56","1,427.51","1,409.15",0.60%
"Dec 03, 2010","1,415.05","1,385.36","1,415.91","1,383.55",2.20%
"Dec 02, 2010","1,384.65","1,387.69","1,398.60","1,382.95",-0.18%
"Dec 01, 2010","1,387.10","1,385.70","1,397.11","1,382.15",0.16%
"Nov 30, 2010","1,384.85","1,368.40","1,390.15","1,363.04",1.20%
"Nov 29, 2010","1,368.37","1,364.30","1,371.13","1,354.97",0.29%
"Nov 26, 2010","1,364.42","1,374.49","1,375.16","1,350.64",-0.74%
"Nov 25, 2010","1,374.62","1,373.55","1,375.40","1,368.25",-0.02%
"Nov 24, 2010","1,374.90","1,377.00","1,381.70","1,369.60",-0.17%
"Nov 23, 2010","1,377.20","1,366.40","1,382.40","1,356.35",0.79%
"Nov 22, 2010","1,366.35","1,354.70","1,368.11","1,348.55",0.95%
"Nov 19, 2010","1,353.50","1,350.49","1,363.29","1,341.90",-0.03%
"Nov 18, 2010","1,353.85","1,336.00","1,359.55","1,335.59",1.24%
"Nov 17, 2010","1,337.25","1,340.00","1,345.20","1,331.30",-0.27%
"Nov 16, 2010","1,340.85","1,360.40","1,364.85","1,329.85",-1.37%
"Nov 15, 2010","1,359.49","1,366.95","1,377.16","1,355.59",-0.69%
"Nov 12, 2010","1,368.95","1,409.90","1,410.61","1,360.26",-2.87%
"Nov 11, 2010","1,409.35","1,403.30","1,418.25","1,396.95",0.40%
"Nov 10, 2010","1,403.75","1,392.70","1,410.80","1,384.25",0.92%
"Nov 09, 2010","1,390.95","1,410.41","1,425.36","1,383.74",-1.31%
"Nov 08, 2010","1,409.45","1,394.90","1,410.70","1,387.14",1.12%
"Nov 05, 2010","1,393.90","1,392.69","1,398.35","1,374.15",0.08%
"Nov 04, 2010","1,392.75","1,348.09","1,393.66","1,346.75",3.27%
"Nov 03, 2010","1,348.65","1,357.96","1,365.25","1,324.64",-0.65%
"Nov 02, 2010","1,357.50","1,351.25","1,359.95","1,350.70",0.43%
"Nov 01, 2010","1,351.75","1,361.19","1,366.49","1,349.80",-0.57%
"Oct 29, 2010","1,359.55","1,344.09","1,359.95","1,335.56",1.13%
"Oct 28, 2010","1,344.35","1,325.59","1,346.50","1,323.55",1.44%
"Oct 27, 2010","1,325.30","1,339.65","1,344.00","1,319.24",-1.09%
"Oct 26, 2010","1,339.90","1,339.45","1,343.90","1,328.41",-0.04%
"Oct 25, 2010","1,340.45","1,331.89","1,350.20","1,331.80",0.92%
"Oct 22, 2010","1,328.20","1,326.05","1,329.35","1,316.09",0.20%
"Oct 21, 2010","1,325.50","1,346.10","1,350.05","1,318.74",-1.55%
"Oct 20, 2010","1,346.35","1,334.80","1,348.20","1,330.80",0.82%
"Oct 19, 2010","1,335.45","1,369.40","1,372.05","1,329.30",-2.51%
"Oct 18, 2010","1,369.80","1,371.00","1,375.30","1,353.05",0.05%
"Oct 15, 2010","1,369.15","1,380.85","1,386.25","1,363.20",-0.88%
"Oct 14, 2010","1,381.30","1,372.70","1,388.10","1,371.25",0.67%
"Oct 13, 2010","1,372.10","1,350.65","1,375.15","1,349.40",1.59%
"Oct 12, 2010","1,350.60","1,354.50","1,356.30","1,341.45",-0.25%
